Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;valor m2;Tipo Agregado
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;14.634146341463415;Apartamento
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0;32.69230769230769;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;36.92307692307692;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;18.88888888888889;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;29.41176470588235;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;46.666666666666664;Apartamento
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;20.754716981132077;Apartamento
Apartamento;Penha;2;0;0;64;950.0;180.0;0.0;14.84375;Apartamento
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;49.23076923076923;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;38.888888888888886;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;42.5;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;23.80952380952381;Apartamento
Quitinete;Gardênia Azul;1;0;0;20;485.0;0.0;0.0;24.25;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;49.666666666666664;Apartamento
Casa;São Conrado;4;0;4;1200;25000.0;0.0;0.0;20.833333333333332;Casa
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;0.0;21.518987341772153;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;20.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;35.256410256410255;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;38.1578947368421;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;19.130434782608695;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;36.734693877551024;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0;23.75;Apartamento
Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;31.666666666666668;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;25.714285714285715;Apartamento
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;0.0;28.571428571428573;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;46.285714285714285;Apartamento
